topicId,rank,docId,filename
4,25,31,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/grimms_hanselgretel.txt
4,26,40,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch2.txt
4,27,33,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/grimms_wateroflife.txt
4,28,35,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch12.txt
4,29,36,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch14.txt
4,30,13,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_angels_ch2_4.txt
4,31,7,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch27.txt
4,32,8,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch41.txt
4,33,41,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch21.txt
4,34,17,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_davinci_ch92.txt
4,35,3,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch40.txt
4,36,37,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch2.txt
4,37,16,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_davinci_ch77.txt
4,38,34,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch1.txt
4,39,6,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch2.txt
4,40,2,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch2.txt
4,41,1,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch1.txt
4,42,12,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_angels_ch1.txt
4,43,14,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_davinci_ch0.txt
5,1,10,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/barrie_peterpan_ch15.txt
5,2,33,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/grimms_wateroflife.txt
5,3,31,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/grimms_hanselgretel.txt
5,4,32,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/grimms_snowdrop.txt
5,5,42,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/stevenson_treasure_ch1.txt
5,6,22,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_scandalbohemia.txt
5,7,19,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/conrad_secret_ch2.txt
5,8,35,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch12.txt
5,9,39,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch15.txt
5,10,21,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_redheadedleague.txt
5,11,25,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch48.txt
5,12,36,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch14.txt
5,13,43,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/stevenson_treasure_ch2.txt
5,14,20,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_caseofidentity.txt
5,15,18,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/conrad_secret_ch1.txt
5,16,37,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch2.txt
